Log ID,Table Number,Entry Time,Exit Time,Duration (formatted),Duration (seconds)
20,1,2026-07-29 00:03:46,Still occupied,Still occupied,
21,2,2026-07-29 00:03:46,Still occupied,Still occupied,
22,1,2026-07-29 00:56:41,Still occupied,Still occupied,
23,2,2026-07-29 00:56:41,Still occupied,Still occupied,
24,1,2026-07-29 01:01:21,Still occupied,Still occupied,
25,2,2026-07-29 01:01:21,Still occupied,Still occupied,
26,1,2026-07-29 01:27:23,Still occupied,Still occupied,
27,2,2026-07-29 01:27:23,Still occupied,Still occupied,
28,1,2026-07-29 01:35:17,Still occupied,Still occupied,
29,2,2026-07-29 01:35:17,2026-07-29 01:36:48,1m 31s,91.02
30,2,2026-07-29 01:36:57,Still occupied,Still occupied,
